targets,layer,filename,fld_value,units,name,description,layer_gl,path_in,fld_id_num,fld_id_chr,fld_category,fld_year,fld_val_num,fld_val_chr,file_exists,year_min,year_max,val_min,val_max,val_0to1,flds_unused,flds_missing,rows_duplicated,num_ids_unique,data_na
AO,ao_access,ao_access_gl2016.csv,value,scaled 0-1,Artisanal fisheries opportunity,The opportunity for artisanal and recreational fishing based on the quality of management of the small-scale fishing sector,ao_access,~/github/ohi-global/eez/layers/ao_access.csv,rgn_id,,,year,value,,TRUE,2013,2013,0.632,0.632,TRUE,,,,9,FALSE
AO,ao_need,ao_need_gl2016.csv,value,scaled 0-1,Economic need for artisanal fishing,Per capita purchasing power parity (PPP) adjusted gross domestic product (GDP): GDPpcPPP as a proxy for subsistence fishing need,ao_need,~/github/ohi-global/eez/layers/ao_need.csv,rgn_id,,,year,value,,TRUE,2005,2016,0.971841157,1,TRUE,,,,9,FALSE
AO pressureCP pressureCS pressureCW pressureECO pressureFIS pressureHAB pressureICO pressureLIV pressureLSP pressureMAR pressureNP pressureSPP pressureTR pressure,ss_spi,ss_spi_gl2016.csv,pressure_score,scaled 0-1,Weakness of social progress,Inverse of Social Progress Index scores,ss_spi,~/github/ohi-global/eez/layers/ss_spi.csv,rgn_id,,,year,pressure_score,,TRUE,2014,2017,0.135708333,0.1379,TRUE,,,,9,FALSE
AO pressureCP pressureCS pressureCW pressureECO pressureFIS pressureHAB pressureICO pressureLIV pressureLSP pressureMAR pressureNP pressureSPP pressureTR pressure,ss_wgi,ss_wgi_gl2016.csv,pressure_score,scaled 0-1,Weakness of governance,Inverse of World Governance Indicators (WGI) six combined scores,ss_wgi,~/github/ohi-global/eez/layers/ss_wgi.csv,rgn_id,,,year,pressure_score,,TRUE,1996,2015,0.195694387,0.258245317,TRUE,,,,9,FALSE
AO pressureCP pressureCS pressureECO pressureFIS pressureHAB pressureICO pressureLIV pressureLSP pressureNP pressureSPP pressure,hd_intertidal,hd_intertidal_gl2016.csv,pressure_score,scaled 0-1,Intertidal habitat destruction,Coastal population density (25 mi from shore)  as a proxy for intertidal habitat destruction,hd_intertidal,~/github/ohi-global/eez/layers/hd_intertidal.csv,rgn_id,,,year,pressure_score,,TRUE,2000,2020,0.494542965,0.507515942,TRUE,,,,9,FALSE
AO pressureCP pressureCS pressureECO pressureFIS pressureHAB pressureICO pressureLIV pressureLSP pressureNP pressureSPP pressure,sp_alien,sp_alien_gl2016.csv,pressures.score,scaled 0-1,Nonindigenous species,Measure of harmful invasive species,sp_alien,~/github/ohi-global/eez/layers/sp_alien.csv,rgn_id,,,,pressures.score,,TRUE,,,1,1,TRUE,,,,9,FALSE
AO pressureCP pressureECO pressureFIS pressureHAB pressureICO pressureLIV pressureLSP pressureNP pressureSPP pressure,hd_subtidal_hb,hd_subtidal_hb_gl2016placeholder.csv,score,scaled 0-1,Subtidal hardbottom habitat destruction,High bycatch artisanal fishing practices (blast fishing) as a proxy for subtidal hard bottom habitat destruction,hd_subtidal_hb,~/github/ohi-global/eez/layers/hd_subtidal_hb.csv,rgn_id,,,year,score,,TRUE,2016,2016,0,0,TRUE,,,,9,FALSE
AO pressureECO pressureFIS pressureHAB pressureICO pressureLIV pressureNP pressureSPP pressure,fp_art_hb,fp_art_hb_gl2016placeholder.csv,pressure_score,scaled 0-1,High bycatch due to artisanal fishing,Presence of destructive artisanal blast and poison (cyanide) fishing.,fp_art_hb,~/github/ohi-global/eez/layers/fp_art_hb.csv,rgn_id,,,year,pressure_score,,TRUE,2016,2016,0,0,TRUE,,,,9,FALSE
AO pressureECO pressureFIS pressureHAB pressureICO pressureLIV pressureSPP pressure,fp_com_hb,fp_com_hb_gl2016.csv,pressure_score,scaled 0-1,High bycatch due to commercial fishing,Modeled destructive commercial fishing practices by 5 gear types and scaled by Net Primary Productivity,fp_com_hb,~/github/ohi-global/eez/layers/fp_com_hb.csv,rgn_id,,,year,pressure_score,,TRUE,2013,2016,0.196208612,0.201337777,TRUE,,,,9,FALSE
AO pressureECO pressureFIS pressureHAB pressureLIV pressureNP pressureSPP pressure,fp_com_lb,fp_com_lb_gl2016.csv,pressure_score,scaled 0-1,Low bycatch due to commercial fishing,Modeled destructive commercial fishing practices by 2 gear types and scaled by Net Primary Productivity,fp_com_lb,~/github/ohi-global/eez/layers/fp_com_lb.csv,rgn_id,,,year,pressure_score,,TRUE,2013,2016,0.196208612,0.201337777,TRUE,,,,9,FALSE
AO pressureECO pressureFIS pressureHAB pressureLIV pressureNP pressureSPP pressure,hd_subtidal_sb,hd_subtidal_sb_gl2016.csv,pressure_score,scaled 0-1,Subtidal soft bottom habitat destruction,"Demersal destructive commercial fishing practices (i.e., trawling) in soft bottom habitat as a proxy for soft bottom habitat destruction",hd_subtidal_sb,~/github/ohi-global/eez/layers/hd_subtidal_sb.csv,rgn_id,,,year,pressure_score,,TRUE,2003,2014,0,0,TRUE,,,,9,FALSE
AO resilienceCP resilienceCS resilienceCW resilienceECO resilienceFIS resilienceHAB resilienceICO resilienceLIV resilienceLSP resilienceMAR resilienceNP resilienceSPP resilienceTR resilience,res_spi,res_spi_gl2016.csv,resilience_score,scaled 0-1,Social Progress Index,Social Progress Index scores,res_spi,~/github/ohi-global/eez/layers/res_spi.csv,rgn_id,,,year,resilience_score,,TRUE,2014,2017,0.8621,0.864291667,TRUE,,,,9,FALSE
AO resilienceCP resilienceCS resilienceCW resilienceECO resilienceFIS resilienceHAB resilienceICO resilienceLIV resilienceLSP resilienceMAR resilienceNP resilienceSPP resilienceTR resilience,wgi_all,wgi_all_gl2016.csv,resilience_score,scaled 0-1,Strength of governance,World Governance Indicators (WGI) six combined scores,wgi_all,~/github/ohi-global/eez/layers/wgi_all.csv,rgn_id,,,year,resilience_score,,TRUE,1996,2015,0.741754683,0.804305613,TRUE,,,,9,FALSE
